engine,kind,phash,dataset,split,seed,n,n_budget_truncated,acc_orig,acc_strict,acc_perm,acc_matched_strict,acc_matched_perm,unparsed_orig,unparsed_strict,mean_think
vllm,concise_prompt,5a781303f9,gsm8k,test,1,250,1,0.772,0.772,0.772,0.772,0.772,0.0,0.0,318.164
vllm,concise_prompt,5a781303f9,gsm8k,test,2,250,1,0.752,0.752,0.752,0.752,0.752,0.0040000000000000036,0.0040000000000000036,396.752
vllm,concise_prompt,5a781303f9,gsm8k,test,3,250,3,0.76,0.76,0.76,0.756,0.756,0.0,0.0,342.396
vllm,concise_prompt,5a781303f9,gsm8k,test,4,250,0,0.76,0.76,0.76,0.76,0.76,0.0040000000000000036,0.0040000000000000036,347.764
vllm,concise_prompt,5a781303f9,gsm8k,test,5,250,0,0.768,0.768,0.768,0.768,0.768,0.008000000000000007,0.008000000000000007,395.304
vllm,concise_prompt,5a781303f9,gsm8k,test,6,250,2,0.784,0.784,0.784,0.784,0.784,0.0,0.0,252.372
vllm,concise_prompt,5a781303f9,gsm8k,test,7,250,1,0.76,0.76,0.76,0.756,0.756,0.0,0.0,342.932
vllm,concise_prompt,5a781303f9,math500,test,0,500,79,0.82,0.82,0.82,0.694,0.706,0.04200000000000004,0.04200000000000004,3485.528
vllm,concise_prompt,5a781303f9,math500,test,1,500,97,0.83,0.83,0.83,0.68,0.692,0.030000000000000027,0.030000000000000027,3611.082
vllm,concise_prompt,5a781303f9,math500,test,2,500,105,0.844,0.844,0.848,0.678,0.692,0.03400000000000003,0.03400000000000003,3320.906
vllm,concise_prompt,5a781303f9,math500,test,3,500,91,0.826,0.826,0.826,0.68,0.692,0.026000000000000023,0.026000000000000023,3456.134
vllm,concise_prompt,5a781303f9,math500,test,4,500,93,0.848,0.848,0.848,0.714,0.724,0.030000000000000027,0.030000000000000027,3285.756
vllm,concise_prompt,5a781303f9,math500,test,5,500,90,0.822,0.822,0.822,0.684,0.688,0.050000000000000044,0.050000000000000044,3560.964
vllm,concise_prompt,5a781303f9,math500,test,6,500,86,0.844,0.844,0.844,0.704,0.708,0.040000000000000036,0.040000000000000036,3514.828
vllm,concise_prompt,5a781303f9,math500,test,7,500,91,0.824,0.824,0.824,0.68,0.682,0.050000000000000044,0.050000000000000044,3337.67
vllm,concise_prompt,5a781303f9,math_train,dev,0,800,122,0.83875,0.83875,0.84,0.7225,0.7325,0.04249999999999998,0.04249999999999998,3523.06125
hf,full,60948c01b8,gsm8k,dev,0,200,0,0.555,0.76,0.765,0.76,0.765,0.405,0.14500000000000002,2035.4
hf,full,60948c01b8,math_train,dev,0,800,33,0.47625,0.58875,0.59875,0.58875,0.5975,0.49250000000000005,0.36875,6156.5725
hf,exit_only,7b873f923e,gsm8k,dev,0,200,1,0.475,0.855,0.86,0.855,0.86,0.45499999999999996,0.010000000000000009,1008.87
hf,exit_only,7b873f923e,math_train,dev,0,800,41,0.6,0.71375,0.71875,0.71375,0.71875,0.31875,0.18999999999999995,3960.09125
hf,exit_only,7ea0180ba8,gsm8k,dev,0,200,1,0.645,0.855,0.865,0.855,0.865,0.29500000000000004,0.030000000000000027,520.9
hf,exit_only,7ea0180ba8,math_train,dev,0,800,37,0.64625,0.76875,0.78125,0.76875,0.78125,0.25875000000000004,0.12,2782.625
hf,exit_only,84bc53aa11,gsm8k,dev,0,200,0,0.825,0.825,0.83,0.825,0.83,0.050000000000000044,0.050000000000000044,501.255
hf,exit_only,84bc53aa11,math_train,dev,0,800,90,0.8275,0.8275,0.835,0.78375,0.795,0.030000000000000027,0.030000000000000027,2223.05875
